2016-09-28 18:52:50,895 | WARN  | Transport Connection to: tcp://10.24.230.215:40972 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:40972@51515
2016-09-28 18:53:01,832 | WARN  | Transport Connection to: tcp://10.24.230.215:39528 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:39528@51515
2016-09-28 18:56:53,016 | WARN  | Transport Connection to: tcp://10.170.108.190:38830 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.170.108.190:38830@51515
2016-09-28 19:10:46,055 | WARN  | Transport Connection to: tcp://10.24.230.215:60124 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:60124@51515
2016-09-28 19:10:58,297 | WARN  | Transport Connection to: tcp://10.24.230.215:60701 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:60701@51515
2016-09-28 19:11:48,100 | WARN  | Transport Connection to: tcp://10.170.108.190:59754 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.170.108.190:59754@51515
2016-09-28 19:11:57,777 | WARN  | Transport Connection to: tcp://10.170.108.190:57766 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.170.108.190:57766@51515
2016-09-28 19:12:30,617 | WARN  | Transport Connection to: tcp://10.169.105.141:59550 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.169.105.141:59550@51515
2016-09-28 19:18:31,491 | WARN  | Transport Connection to: tcp://10.24.230.215:42745 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:42745@51515
2016-09-28 19:20:53,841 | WARN  | Transport Connection to: tcp://10.24.230.215:45045 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:45045@51515
2016-09-28 19:28:16,231 | WARN  | Transport Connection to: tcp://10.24.230.215:35460 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:35460@51515
2016-09-28 19:28:29,944 | WARN  | Transport Connection to: tcp://10.170.108.190:59344 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.170.108.190:59344@51515
2016-09-28 19:29:16,026 | WARN  | Transport Connection to: tcp://10.24.230.215:35125 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.24.230.215:35125@51515
2016-09-28 19:29:20,346 | WARN  | Transport Connection to: tcp://10.170.108.190:42857 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.170.108.190:42857@51515
2016-09-28 19:29:56,480 | WARN  | Transport Connection to: tcp://10.169.105.141:43416 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///10.169.105.141:43416@51515
